INFO 2026-03-11 05:18:15,108 autoreload Watching for file changes with StatReloader
INFO 2026-03-11 05:18:17,171 basehttp "GET / HTTP/1.1" 200 275
INFO 2026-03-11 05:18:19,660 basehttp "GET /api/dashboard/stats/ HTTP/1.1" 200 78
INFO 2026-03-11 05:18:22,565 basehttp "GET /health-check/ HTTP/1.1" 200 148
INFO 2026-03-11 05:18:24,304 basehttp "GET /admin/ HTTP/1.1" 200 14306
INFO 2026-03-11 05:18:24,322 basehttp "GET /static/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2026-03-11 05:18:24,323 basehttp "GET /static/vendor/adminlte/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2026-03-11 05:18:24,328 basehttp "GET /static/jazzmin/css/main.css HTTP/1.1" 304 0
INFO 2026-03-11 05:18:24,330 basehttp "GET /static/jazzmin/js/main.js HTTP/1.1" 304 0
INFO 2026-03-11 05:18:24,330 basehttp "GET /static/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2026-03-11 05:18:24,330 basehttp "GET /static/vendor/adminlte/img/AdminLTELogo.png HTTP/1.1" 304 0
INFO 2026-03-11 05:18:24,331 basehttp "GET /static/vendor/adminlte/js/adminlte.min.js HTTP/1.1" 304 0
INFO 2026-03-11 05:18:24,442 basehttp "GET /static/vendor/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 0
INFO 2026-03-11 05:18:24,443 basehttp "GET /static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
INFO 2026-03-11 05:20:28,625 basehttp "GET /admin/ HTTP/1.1" 200 14306
INFO 2026-03-11 05:20:33,105 basehttp "GET /admin/auth/group/ HTTP/1.1" 200 12892
INFO 2026-03-11 05:20:33,126 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2026-03-11 05:20:33,127 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2026-03-11 05:20:33,129 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2026-03-11 05:20:33,129 basehttp "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2026-03-11 05:20:33,135 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2026-03-11 05:20:33,137 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2026-03-11 05:20:33,138 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2026-03-11 05:20:33,141 basehttp "GET /static/vendor/select2/css/select2.min.css HTTP/1.1" 200 16264
INFO 2026-03-11 05:20:33,141 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-03-11 05:20:33,142 basehttp "GET /static/jazzmin/js/change_list.js HTTP/1.1" 200 2205
INFO 2026-03-11 05:20:33,145 basehttp "GET /static/vendor/select2/js/select2.min.js HTTP/1.1" 200 73170
INFO 2026-03-11 05:20:35,102 basehttp "GET /admin/tasks/task/ HTTP/1.1" 200 14763
INFO 2026-03-11 05:20:35,117 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-03-11 05:20:45,467 autoreload Watching for file changes with StatReloader
INFO 2026-03-11 05:20:47,504 basehttp "GET / HTTP/1.1" 200 275
WARNING 2026-03-11 05:20:47,544 log Not Found: /favicon.ico
WARNING 2026-03-11 05:20:47,544 basehttp "GET /favicon.ico HTTP/1.1" 404 2497
INFO 2026-03-11 05:20:48,706 basehttp "GET /api/dashboard/stats/ HTTP/1.1" 200 78
INFO 2026-03-11 05:20:50,415 basehttp "GET /health-check/ HTTP/1.1" 200 148
INFO 2026-03-11 05:20:51,738 basehttp "GET /admin/ HTTP/1.1" 200 14306
INFO 2026-03-11 05:20:51,755 basehttp "GET /static/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2026-03-11 05:20:51,762 basehttp "GET /static/vendor/adminlte/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2026-03-11 05:20:51,763 basehttp "GET /static/vendor/adminlte/img/AdminLTELogo.png HTTP/1.1" 304 0
INFO 2026-03-11 05:20:51,764 basehttp "GET /static/jazzmin/css/main.css HTTP/1.1" 304 0
INFO 2026-03-11 05:20:51,766 basehttp "GET /static/vendor/adminlte/js/adminlte.min.js HTTP/1.1" 304 0
INFO 2026-03-11 05:20:51,766 basehttp "GET /static/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2026-03-11 05:20:51,767 basehttp "GET /static/jazzmin/js/main.js HTTP/1.1" 304 0
INFO 2026-03-11 05:20:51,802 basehttp "GET /static/vendor/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 0
INFO 2026-03-11 05:20:51,802 basehttp "GET /static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
INFO 2026-03-11 05:22:53,934 autoreload Watching for file changes with StatReloader
INFO 2026-03-11 05:22:55,141 basehttp "GET / HTTP/1.1" 200 275
WARNING 2026-03-11 05:22:55,188 log Not Found: /favicon.ico
WARNING 2026-03-11 05:22:55,189 basehttp "GET /favicon.ico HTTP/1.1" 404 2497
INFO 2026-03-11 05:24:25,997 basehttp "GET /api/dashboard/stats/ HTTP/1.1" 200 78
INFO 2026-03-11 05:24:30,336 basehttp "GET /health-check/ HTTP/1.1" 200 148
INFO 2026-03-11 05:24:33,730 basehttp "GET /admin/ HTTP/1.1" 200 14306
INFO 2026-03-11 05:28:39,956 autoreload Watching for file changes with StatReloader
INFO 2026-03-11 05:28:41,232 basehttp "GET / HTTP/1.1" 200 275
WARNING 2026-03-11 05:28:41,316 log Not Found: /favicon.ico
WARNING 2026-03-11 05:28:41,316 basehttp "GET /favicon.ico HTTP/1.1" 404 2497
INFO 2026-03-11 05:28:42,929 basehttp "GET /admin/ HTTP/1.1" 200 14306
INFO 2026-03-11 05:28:53,322 basehttp "GET /admin/ HTTP/1.1" 200 14306
INFO 2026-03-11 05:28:53,358 basehttp "GET /static/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2026-03-11 05:28:53,381 basehttp "GET /static/jazzmin/css/main.css HTTP/1.1" 304 0
INFO 2026-03-11 05:28:53,382 basehttp "GET /static/vendor/adminlte/img/AdminLTELogo.png HTTP/1.1" 304 0
INFO 2026-03-11 05:28:53,382 basehttp "GET /static/vendor/adminlte/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2026-03-11 05:28:53,383 basehttp "GET /static/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2026-03-11 05:28:53,388 basehttp "GET /static/vendor/adminlte/js/adminlte.min.js HTTP/1.1" 304 0
INFO 2026-03-11 05:28:53,396 basehttp "GET /static/jazzmin/js/main.js HTTP/1.1" 304 0
INFO 2026-03-11 05:28:53,421 basehttp "GET /static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
INFO 2026-03-11 05:28:53,421 basehttp "GET /static/vendor/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 0
INFO 2026-03-11 05:28:58,190 basehttp "GET / HTTP/1.1" 200 275
INFO 2026-03-11 05:29:00,221 basehttp "GET /api/dashboard/stats/ HTTP/1.1" 200 78
INFO 2026-03-11 05:29:02,518 basehttp "GET /admin/ HTTP/1.1" 200 14306
INFO 2026-03-11 09:39:31,298 autoreload Watching for file changes with StatReloader
INFO 2026-03-11 09:39:35,632 basehttp "GET / HTTP/1.1" 200 275
WARNING 2026-03-11 09:39:35,727 log Not Found: /favicon.ico
WARNING 2026-03-11 09:39:35,727 basehttp "GET /favicon.ico HTTP/1.1" 404 2497
INFO 2026-03-11 09:39:44,594 basehttp "GET /admin/ HTTP/1.1" 200 14306
INFO 2026-03-11 09:39:44,620 basehttp "GET /static/vendor/adminlte/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2026-03-11 09:39:44,622 basehttp "GET /static/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2026-03-11 09:39:44,627 basehttp "GET /static/jazzmin/css/main.css HTTP/1.1" 304 0
INFO 2026-03-11 09:39:44,629 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2026-03-11 09:39:44,633 basehttp "GET /static/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2026-03-11 09:39:44,638 basehttp "GET /static/vendor/adminlte/js/adminlte.min.js HTTP/1.1" 304 0
INFO 2026-03-11 09:39:44,639 basehttp "GET /static/vendor/adminlte/img/AdminLTELogo.png HTTP/1.1" 304 0
INFO 2026-03-11 09:39:44,641 basehttp "GET /static/jazzmin/js/main.js HTTP/1.1" 304 0
INFO 2026-03-11 09:39:44,696 basehttp "GET /static/vendor/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 0
INFO 2026-03-11 09:39:44,696 basehttp "GET /static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
